,cluster,journal_id,journal_title,pap_id,pap_title,distance
3,14,1006,AAPS PharmSciTech,463400,3D Simulation of Internal Tablet Strength During Tableting,[[0.178124781972]]
3,14,1006,AAPS PharmSciTech,463500,Microchip for Sustained Drug Delivery by Diffusion Through Microchannels,[[0.200193609255]]
3,14,1006,AAPS PharmSciTech,463600,Effects of Processing on the Release Profiles of Matrix Systems Containing 5-Aminosalicylic Acid,[[0.142235753636]]
3,14,1006,AAPS PharmSciTech,463700,Amorphous Solid Dispersions of Sulfonamide/Soluplus® and Sulfonamide/PVP Prepared by Ball Milling,[[0.0751980888731]]
7,3,6339,SpringerPlus,477700,Transdifferentiation of MALME-3M and MCF-7 Cells toward Adipocyte-like Cells is Dependent on Clathrin-mediated Endocytosis,[[0.148288891645]]
3,8,6916,Fixed Point Theory and Applications,477900,Existence and iterative approximation for generalized equilibrium problems for a countable family of nonexpansive mappings in banach spaces,[[0.48776653995]]
3,8,6916,Fixed Point Theory and Applications,478000,Weak compactness and the Eisenfeld-Lakshmikantham measure of nonconvexity,[[0.163662598705]]
3,8,6916,Fixed Point Theory and Applications,478100,Common fixed points of mappings satisfying implicit contractive conditions,[[0.220718127011]]
3,8,6916,Fixed Point Theory and Applications,478200,The convergence theorems of Ishikawa iterative process with errors for Φ-hemi-contractive mappings in uniformly smooth Banach spaces,[[0.60706670282]]
3,14,6381,Chemistry Central Journal,479000,Multi-body interactions in molecular docking: treatment of water molecules and multiple ligands,[[0.134966362796]]
3,14,6381,Chemistry Central Journal,479100,Web-based computational chemistry,[[0.194244451441]]
3,7,6381,Chemistry Central Journal,479200,"Theoretical study on the electronic, structural, properties and reactivity of a series of mono-, di-, tri- and tetrachlorothiophenes as well as corresponding radical cation forms as monomers for conducting polymers",[[0.190757952543]]
3,14,6381,Chemistry Central Journal,479300,Effects of isopropanol on collagen fibrils in new parchment,[[0.113813913511]]
3,14,6381,Chemistry Central Journal,479400,"Organic materials in the wall paintings in Pompei: a case study of <em class=""a-plus-plus"">Insula</em> del Centenario",[[0.126491519409]]
3,14,6362,Nanoscale Research Letters,479500,Experimental investigation on the bi-directional growing mechanism of the foils laminate approach in AAO fabrication,[[0.075864483124]]
3,14,6362,Nanoscale Research Letters,479600,Nanophotothermolysis of Poly-(vinyl) Alcohol Capped Silver Particles,[[0.186776408272]]
3,14,6362,Nanoscale Research Letters,479700,Effects of Proteins from Culture Medium on Surface Property of Silanes- Functionalized Magnetic Nanoparticles,[[0.122510654614]]
7,3,6362,Nanoscale Research Letters,479800,Assessment of the In Vivo Toxicity of Gold Nanoparticles,[[0.389165946741]]
3,14,6362,Nanoscale Research Letters,479900,Fabrication of Anti-human Cardiac Troponin I Immunogold Nanorods for Sensing Acute Myocardial Damage,[[0.142796172242]]
3,14,6362,Nanoscale Research Letters,480000,Superelasticity of Carbon Nanocoils from Atomistic Quantum Simulations,[[0.154869169322]]
3,14,6362,Nanoscale Research Letters,480100,Thermal Contraction of Electrodeposited Bi/BiSb Superlattice Nanowires,[[0.163178201771]]
3,14,6362,Nanoscale Research Letters,480200,Enhanced Specificity of Multiplex Polymerase Chain Reaction via CdTe Quantum Dots,[[0.13037893618]]
3,14,6362,Nanoscale Research Letters,480300,Ultra-steep side facets in multi-faceted SiGe/Si(001) Stranski-Krastanow islands,[[0.0923403102828]]
3,14,6362,Nanoscale Research Letters,480400,Multiple metallic-shell nanocylinders for surface-enhanced spectroscopes,[[0.145812342643]]
3,14,6362,Nanoscale Research Letters,480500,Thermal conductivity and viscosity of self-assembled alcohol/polyalphaolefin nanoemulsion fluids,[[0.119150045612]]
3,14,6362,Nanoscale Research Letters,480600,Preparation and properties of copper-oil-based nanofluids,[[0.189751092481]]
3,14,6362,Nanoscale Research Letters,480700,"Nano-embossing technology on ferroelectric thin film Pb(Zr<sub class=""a-plus-plus"">0.3</sub>,Ti<sub class=""a-plus-plus"">0.7</sub>)O<sub class=""a-plus-plus"">3</sub> for multi-bit storage application",[[0.102157491189]]
3,14,6362,Nanoscale Research Letters,480800,Improvement of photon extraction efficiency of GaN-based LED using micro and nano complex polymer structures,[[0.120804171326]]
3,14,6362,Nanoscale Research Letters,480900,Effects of pentacene-doped PEDOT:PSS as a hole-conducting layer on the performance characteristics of polymer photovoltaic cells,[[0.0789827401833]]
3,14,6362,Nanoscale Research Letters,481000,Crosstalk analysis of carbon nanotube bundle interconnects,[[0.0891274794041]]
3,14,6362,Nanoscale Research Letters,481100,"Microwave absorption properties of Ni/(C, silicides) nanocapsules",[[0.106309613028]]
3,7,6362,Nanoscale Research Letters,481200,Microscopic modeling of charge transport in sensing proteins,[[0.194204023695]]
3,14,6362,Nanoscale Research Letters,481300,Photoluminescence enhancement of quantum dots on Ag nanoneedles,[[0.167107350804]]
3,14,6362,Nanoscale Research Letters,481400,Photoconductivity and photoluminescence under bias in GaInNAs/GaAs MQW p-i-n structures,[[0.1626416395]]
3,14,6362,Nanoscale Research Letters,481500,Electron transport in a GaPSb film,[[0.148788322733]]
3,14,6362,Nanoscale Research Letters,481600,Growth of nanolaminate structure of tetragonal zirconia by pulsed laser deposition,[[0.110895443696]]
8,21,6289,Science China Life Sciences,483200,"Long-term <em class=""a-plus-plus"">ex vivo</em> monitoring of <em class=""a-plus-plus"">in vivo</em> microRNA activity in liver using a secreted luciferase sensor",[[0.29055709339]]
3,19,6289,Science China Life Sciences,483300,"Genotypic variation in phosphorus acquisition from sparingly soluble P sources is related to root morphology and root exudates in <em class=""a-plus-plus"">Brassica napus</em>",[[0.235017936792]]
3,14,6289,Science China Life Sciences,483400,"An <em class=""a-plus-plus"">in vivo</em> study with an MRI tracer method reveals the biophysical properties of interstitial fluid in the rat brain",[[0.212927495166]]
3,14,6128,Science Bulletin,491300,"Influence of deposition time on the morphology and optical properties of SiO<sub class=""a-plus-plus"">2</sub>-ZnO composite photonic crystals",[[0.0978042786792]]
3,14,6128,Science Bulletin,491400,Kinetic calculations for the thermal decomposition of calcium propionate under non-isothermal conditions,[[0.187156003573]]
6,19,6128,Science Bulletin,491500,"Molecular dissection of plant height QTLs using recombinant inbred lines from hybrids between common wheat (<em class=""a-plus-plus"">Triticum aestivum</em> L.) and spelt wheat (<em class=""a-plus-plus"">Triticum spelta</em> L.)",[[0.246996987045]]
3,14,6128,Science Bulletin,491600,Membrane sorption property effects on transmembrane permeation,[[0.149357442973]]
7,7,6128,Science Bulletin,491700,"p53-dependent upregulation of <em class=""a-plus-plus"">PIG</em>3 transcription by γ-ray irradiation and its interaction with KAP1 in responding to DNA damage",[[0.130577355896]]
3,14,6128,Science Bulletin,491800,"Chronology and pattern of integration of tandem genomic islands associated with the tmRNA gene in <em class=""a-plus-plus"">Escherichia coli</em> and <em class=""a-plus-plus"">Salmonella enterica</em>",[[0.122122381399]]
3,28,6128,Science Bulletin,491900,Comparison of phylobetadiversity indices based on community data from Gutianshan forest plot,[[0.266644023586]]
3,14,6128,Science Bulletin,492000,Dependence of magnetic field just inside the magnetopause on subsolar standoff distance: Global MHD results,[[0.116712720424]]
3,26,6128,Science Bulletin,492100,Trajectory tracking control of quantum systems,[[0.16075168604]]
3,7,6128,Science Bulletin,492200,"Reactions of [FeL<sub class=""a-plus-plus"">2</sub>(CH<sub class=""a-plus-plus"">3</sub>CN)<sub class=""a-plus-plus"">2</sub>](PF<sub class=""a-plus-plus"">6</sub>)<sub class=""a-plus-plus"">2</sub> (L = <em class=""a-plus-plus"">N</em>-pyrimid-2-ylimidazol-ylidene) with N-, P-, O-, and S-donors and its catalytic activity",[[0.214898668681]]
7,14,6128,Science Bulletin,492300,"The interaction of GSSG modified magnetic nanoparticles with SPC-A1 cells <em class=""a-plus-plus"">in vitro</em>",[[0.118368974107]]
3,14,6128,Science Bulletin,492400,"Nonstoichiometric Li<sub class=""a-plus-plus"">1±<em class=""a-plus-plus"">x</em>
                            </sub>Ni<sub class=""a-plus-plus"">0.5</sub>Mn<sub class=""a-plus-plus"">1.5</sub>O<sub class=""a-plus-plus"">4</sub> with different structures and electrochemical properties",[[0.168766456724]]
7,14,6128,Science Bulletin,492500,Regulated conformation changes in C-reactive protein orchestrate its role in atherogenesis,[[0.346982125828]]
3,14,6128,Science Bulletin,492600,"Research progress of heavy metal pollution in China: Sources, analytical methods, status, and toxicity",[[0.283186209054]]
3,14,6128,Science Bulletin,492700,Single scattering particles based analytical techniques,[[0.23650521394]]
3,14,6892,EURASIP Journal on Advances in Signal Processing,494200,PAPR reduction in SFBC MIMO MC-CDMA systems via user reservation,[[0.178027315183]]
3,14,6892,EURASIP Journal on Advances in Signal Processing,494300,Asynchronous analog-to-digital converter based on level-crossing sampling scheme,[[0.14605612948]]
3,14,6892,EURASIP Journal on Advances in Signal Processing,494400,Impulsive noise rejection method for compressed measurement signal in compressed sensing,[[0.208054031789]]
3,14,6892,EURASIP Journal on Advances in Signal Processing,494500,Low-frequency ambient noise generator with application to automatic speaker classification,[[0.253963615979]]
3,8,6896,Advances in Difference Equations,494600,Mild solutions for a problem involving fractional derivatives in the nonlinearity and in the non-local conditions,[[0.168955461293]]
3,8,6896,Advances in Difference Equations,494700,Initial value problem for fractional evolution equations,[[0.239381290179]]
3,8,6896,Advances in Difference Equations,494800,Intuitionistic random almost additive-quadratic mappings,[[0.39183348728]]
3,14,6896,Advances in Difference Equations,494900,Fault detection and estimation for non-Gaussian stochastic systems with time varying delay,[[0.15392464795]]
3,14,6902,EURASIP Journal on Wireless Communications and Networking,495000,Ultra-wide bandwidth backscatter modulation: processing schemes and performance,[[0.119254835627]]
3,14,6902,EURASIP Journal on Wireless Communications and Networking,495100,"Second-order statistics of selection macro-diversity system operating over Gamma shadowed <em class=""a-plus-plus"">κ</em>-<em class=""a-plus-plus"">μ</em> fading channels",[[0.104186652695]]
3,14,6902,EURASIP Journal on Wireless Communications and Networking,495200,Low complexity look up table based adaptive digital predistorter with low memory requirements,[[0.30313896893]]
3,14,6902,EURASIP Journal on Wireless Communications and Networking,495300,Hybrid propagation channel modelling for city area land mobile satellite communications,[[0.198272740126]]
3,8,6902,EURASIP Journal on Wireless Communications and Networking,495400,Robust SINR-constrained MISO downlink beamforming: when is semidefinite programming relaxation tight?,[[0.181980344208]]
3,14,6902,EURASIP Journal on Wireless Communications and Networking,495500,Resource allocation for secondary users with chance constraints based on primary links control feedback information,[[0.245181699696]]
3,14,6382,Journal of Cheminformatics,496200,"Making people's lives easier, better and more beautiful - and how computer-aided materials design may help",[[0.167609864734]]
3,14,6382,Journal of Cheminformatics,496300,Docking and virtual screening of novel inhibitors for mono-ADP-ribosylating toxins,[[0.117986396417]]
3,14,6382,Journal of Cheminformatics,496400,CADDSuite – a workflow-enabled suite of open-source tools for drug discovery,[[0.173001942762]]
3,14,6382,Journal of Cheminformatics,496500,InChIKey collision resistance: an experimental testing,[[0.145271277666]]
2,14,7062,The Journal of Headache and Pain,497800,"Primary headache in Emergency Department: prevalence, clinical features and therapeutical approach",[[0.632091297846]]
2,14,7062,The Journal of Headache and Pain,497900,Headache related to use of cholinesterase inhibitors: study of a Cognitive Function Clinic population,[[0.481627545297]]
2,14,7062,The Journal of Headache and Pain,498000,What clues are available for differential diagnosis of headaches in emergency settings?,[[0.629038627297]]
2,14,7062,The Journal of Headache and Pain,498200,Intracranial hypotension and PRES,[[0.182140737371]]
2,14,7062,The Journal of Headache and Pain,498300,Epidural blood patch for refractory low CSF pressure headache: a pilot study,[[0.516818685936]]
2,14,7062,The Journal of Headache and Pain,498400,Manual therapies for cervicogenic headache: a systematic review,[[0.393594185001]]
3,14,6906,Environmental Sciences Europe,499000,Die aktuelle Recherche,[[0.123133859949]]
2,27,6906,Environmental Sciences Europe,499100,Vogelfedern als Biomonitoren für die atmosphärische Schwermetallbelastung — Untersuchungen mit der Protonenmikrosonde,[[0.0331995830892]]
2,27,6906,Environmental Sciences Europe,499200,Anwendung von Pflanzenschutzmitteln,[[0.0365692689229]]
2,27,6906,Environmental Sciences Europe,499300,Das Umwelthaftungsgesetz,[[0.045152939705]]
2,27,6906,Environmental Sciences Europe,499400,Statistische Anwendungen und Modelle,[[0.0410647276593]]
2,27,6906,Environmental Sciences Europe,499500,Waldökosystemforschung in inneralpinen Tälern Tirols,[[0.0793225644946]]
2,27,6906,Environmental Sciences Europe,499600,Rückblick und Ausblick,[[0.0804965129998]]
2,27,6906,Environmental Sciences Europe,499700,Gentechnisch veränderte Lebensmittel und -zusatzstoffe,[[0.124797311611]]
2,27,6906,Environmental Sciences Europe,499900,Probabilistische Expositionsabschätzung zur Beurteilung der gesundheitlichen Auswirkungen von Umweltbelastungen,[[0.0660438653815]]
2,27,6906,Environmental Sciences Europe,500000,Teil I: Stoffstromanalysen landwirtschaftlicher Produktionsverfahren,[[0.117802026104]]
2,27,6906,Environmental Sciences Europe,500100,Life cycle engineering im Automobilbau,[[0.111367236673]]
2,27,6906,Environmental Sciences Europe,500400,Einsatz der Hassediagrammtechnik zum Vergleich von Bergbaubetrieben unter dem Aspekt der Nachhaltigkeit,[[0.0995167777414]]
2,27,6906,Environmental Sciences Europe,500500,Erfahrungen des Umweltbundesamtes mit der EU-Biozid-Richtlinie,[[0.0769051283978]]
3,14,6906,Environmental Sciences Europe,500600,Monitoring of Bt-Maize pollen exposure in the vicinity of the nature reserve Ruhlsdorfer Bruch in northeast Germany 2007 to 2008,[[0.196662302572]]
3,14,6906,Environmental Sciences Europe,500700,News from the SETAC Europe Student Advisory Council - September 2012,[[0.145011509091]]
3,14,5968,Gold Bulletin,500800,Gold-copper-zinc alloys with shape memory,[[0.10410345179]]
3,14,5968,Gold Bulletin,500900,Transferable gold coatings,[[0.155174018591]]
3,14,5968,Gold Bulletin,501000,Recovery of gold,[[0.157664828672]]
3,14,5968,Gold Bulletin,501100,The ‘Forschungsinstitut für Edelmetalle und Metallchemie’,[[0.122877465269]]
3,14,5968,Gold Bulletin,501200,Corinthian bronze and the gold of the alchemists,[[0.0850232652589]]
3,14,5968,Gold Bulletin,501300,Coordination polymers with cyanoaurate building blocks: Potential new industrial applications for gold,[[0.162661148466]]
3,14,5968,Gold Bulletin,501500,Gold science and applications,[[0.225415381222]]
2,14,5324,Netherlands Heart Journal,526000,Planning and monitoring of patients for electrical cardioversion for atrial fibrillation,[[0.121325002558]]
2,27,5577,Datenschutz und Datensicherheit - DuD,544500,Von F(acebook) bis X(ing),[[0.0788313675125]]
2,27,5577,Datenschutz und Datensicherheit - DuD,544700,Alte Deiche,[[0.144279684836]]
2,27,5577,Datenschutz und Datensicherheit - DuD,544800,Allianz für Cyber-Sicherheit,[[0.0169416565855]]
2,27,5577,Datenschutz und Datensicherheit - DuD,544900,"Kongehl, Gerhard (Hrsg.): Datenschutz-Management, Haufe-Lexware, Freiburg, Stand: Januar 2012, ISBN 978-3-8092-1705-3, 198,- Euro (mit Ergänzungslieferungen als Update-Informationen nach Bedarf zu je 98,- € incl. MwSt).",[[0.130579222976]]
9,10,6657,Huisarts en wetenschap,579900,Prikkelend nieuws voor jonge snotterneuzen?,[[0.0234422427253]]
9,10,6657,Huisarts en wetenschap,580200,Vervolgcontacten na bezoek aan de HAP,[[0.133272965924]]
9,10,6657,Huisarts en wetenschap,580300,Focus op fout,[[0.258208714624]]
9,10,6657,Huisarts en wetenschap,580500,Diagnostische strategie voor urineweginfecties bij mannen,[[0.077437484804]]
3,26,5188,The European Physical Journal C,655500,Study of dimuon rare beauty decays with ATLAS and CMS,[[0.236139236096]]
3,26,5188,The European Physical Journal C,656400,Constraining spin-one color-octet resonances using CDF and ATLAS data,[[0.160480160288]]
2,16,5898,Annals of Surgical Oncology,739600,Laparoscopic Pelvic Autonomic Nerve-Preserving Surgery for Sigmoid Colon Cancer,[[0.228783466652]]
2,14,5898,Annals of Surgical Oncology,740100,"Liver Resection with Portal Vein Thrombectomy
              for Hepatocellular Carcinoma With Vascular Invasion",[[0.280002050908]]
2,13,5898,Annals of Surgical Oncology,740900,Retrohepatic Vena Cava Resection Associated With Right Trisectionectomy and Caudate Lobectomy for Colorectal Liver Metastases,[[0.29561196819]]
2,14,5898,Annals of Surgical Oncology,741000,Epitrochlear Lymph Node Dissection,[[0.238119067735]]
2,16,5898,Annals of Surgical Oncology,741200,Has Placement of Surgical Clips in the Lumpectomy Bed Fallen Out of Favor?,[[0.215237172045]]
5,2,5898,Annals of Surgical Oncology,741400,Minimally Invasive Approach to Breast Cancer: Is Less Better?,[[0.288465227409]]
3,14,5131,European Radiology,792200,First performance evaluation of a dual-source CT (DSCT) system,[[0.0860812155141]]
3,14,5131,European Radiology,792400,MR imaging in sports-related glenohumeral instability,[[0.138637872869]]
2,13,5131,European Radiology,793000,Coronary revascularization treatment based on dual-source computed tomography,[[0.17185648814]]
2,13,5131,European Radiology,794200,Diagnostic performance of 320-slice multidetector computed tomography coronary angiography in patients after coronary artery bypass grafting,[[0.286230613962]]
3,7,5833,Journal of The American Society for Mass Spectrometry,833600,Increased proteome coverage for quantitative peptide abundance measurements based upon high performance separations and DREAMS FTICR mass spectrometry,[[0.230994862213]]
3,7,5833,Journal of The American Society for Mass Spectrometry,833700,Experimental factors affecting the quality and reproducibility of MALDI TOF mass spectra obtained from whole bacteria cells,[[0.250397002298]]
3,7,5833,Journal of The American Society for Mass Spectrometry,833800,Determination of the activation energy for unimolecular dissociation of a non-covalent gas-phase peptide: Substrate complex by infrared multiphoton dissociation fourier transform ion cyclotron resonance mass spectrometry,[[0.267882537399]]
3,14,5833,Journal of The American Society for Mass Spectrometry,833900,"Compositional analysis of isobutylene/<em class=""a-plus-plus"">p</em>-methylstyrene copolymers by matrix-assisted laser desorption/ionization mass spectrometry",[[0.14518934209]]
3,7,5833,Journal of The American Society for Mass Spectrometry,834000,"Tandem mass spectrometric investigation of acylpolyamines of spider venoms and their <sup class=""a-plus-plus"">15</sup>N-labeled derivatives",[[0.191489993494]]
3,7,5833,Journal of The American Society for Mass Spectrometry,834100,"Elucidation of the presence and location of <em class=""a-plus-plus"">t</em>-Boc protecting groups in amines and dipeptides using on-column H/D exchange HPLC/ESI/MS",[[0.178539605299]]
3,7,5833,Journal of The American Society for Mass Spectrometry,834200,MALDI mass spectrometry analysis of high molecular weight proteins from whole bacterial cells: Pretreatment of samples with surfactants,[[0.161969992117]]
3,14,5833,Journal of The American Society for Mass Spectrometry,834300,On the distributions of ion/neutral molecule clusters in electrospray and laser spray—A cluster division model for the electrospray process,[[0.31317491958]]
6,7,5833,Journal of The American Society for Mass Spectrometry,834400,De novo peptide sequencing using exhaustive enumeration of peptide composition,[[0.36791197659]]
3,14,5833,Journal of The American Society for Mass Spectrometry,834500,Sub parts-per-million mass measurement accuracy of intact proteins and product ions achieved using a dual electrospray ionization quadrupole fourier transform ion cyclotron resonance mass spectrometer,[[0.171879422086]]
3,7,5833,Journal of The American Society for Mass Spectrometry,834600,Ligand binding mode to duplex and triplex dna assessed by combining electrospray tandem mass spectrometry and molecular modeling,[[0.241893059779]]
3,7,5833,Journal of The American Society for Mass Spectrometry,834700,Development of a time-resolved method for photodissociation mechanistic study of protonated peptides: Use of a voltage-floated cell in a tandem time-of-flight mass spectrometer,[[0.25932777513]]
3,7,5833,Journal of The American Society for Mass Spectrometry,834800,Structural characterization of monohydroxyeicosatetraenoic acids and dihydroxy- and trihydroxyeicosatrienoic acids by ESI-FTICR,[[0.231172123668]]
3,14,5833,Journal of The American Society for Mass Spectrometry,834900,"Electron capture dissociation, electron detachment dissociation, and collision-induced dissociation of polyamidoamine (PAMAM) dendrimer ions with amino, amidoethanol, and sodium carboxylate surface groups",[[0.149513141831]]
3,14,5833,Journal of The American Society for Mass Spectrometry,835000,Automated electrospray ionization FT-ICR mass spectrometry for petroleum analysis,[[0.157762834508]]
3,7,5833,Journal of The American Society for Mass Spectrometry,835100,Experimental and computational studies of the macrocyclic effect of an auxiliary ligand on electron and proton transfers within ternary copper(II)-Histidine complexes,[[0.200665697424]]
3,7,5833,Journal of The American Society for Mass Spectrometry,835200,Solid state nuclear magnetic resonance as a tool to explore solvent-free MALDI samples,[[0.202252451195]]
3,14,5833,Journal of The American Society for Mass Spectrometry,835300,Controlling the expansion into vacuum—the enabling technology for trapping atmosphere-sampled particulate ions,[[0.253537129381]]
3,14,5833,Journal of The American Society for Mass Spectrometry,835400,Rapid and label-free screening of enzyme inhibitors using segmented flow electrospray ionization mass spectrometry,[[0.179469829704]]
3,14,5833,Journal of The American Society for Mass Spectrometry,835500,Organic secondary ion mass spectrometry: Signal enhancement by water vapor injection,[[0.249051281945]]
3,7,5833,Journal of The American Society for Mass Spectrometry,835600,IonCCD™ for Direct Position-Sensitive Charged-Particle Detection: from Electrons and keV Ions to Hyperthermal Biomolecular Ions,[[0.351251552581]]
3,14,5833,Journal of The American Society for Mass Spectrometry,835700,An Alternative Paper Based Tissue Washing Method for Mass Spectrometry Imaging: Localized Washing and Fragile Tissue Analysis,[[0.190883120975]]
3,7,5833,Journal of The American Society for Mass Spectrometry,835800,Compelling Advantages of Negative Ion Mode Detection in High-Mass MALDI-MS for Homomeric Protein Complexes,[[0.293989498405]]
3,7,5833,Journal of The American Society for Mass Spectrometry,835900,Improved Sequence Resolution by Global Analysis of Overlapped Peptides in Hydrogen/Deuterium Exchange Mass Spectrometry,[[0.210546554451]]
3,7,5833,Journal of The American Society for Mass Spectrometry,836000,"Gas Phase Decarbonylation and Cyclization Reactions of Protonated <em class=""a-plus-plus"">N</em>-Methyl-<em class=""a-plus-plus"">N</em>-Phenylmethacrylamide and Its Derivatives Via an Amide <em class=""a-plus-plus"">Claisen</em> Rearrangement",[[0.27228328725]]
3,14,6139,Surgical Endoscopy,892500,Evaluating an optimal gastric closure method for transgastric surgery,[[0.0974157934631]]
3,14,6139,Surgical Endoscopy,892900,Retracting and seeking movements during laparoscopic goal-oriented movements. Is the shortest path length optimal?,[[0.115165242321]]
3,14,6139,Surgical Endoscopy,893500,The value of haptic feedback in conventional and robot-assisted minimal invasive surgery and virtual reality training: a current review,[[0.138121417542]]
3,14,6139,Surgical Endoscopy,893800,Natural orifice translumenal endoscopic surgery (NOTES): creation of a gastric valve for safe and effective transgastric surgery in humans,[[0.141907410704]]
3,14,6139,Surgical Endoscopy,894100,An Isolator System for minimally invasive surgery: the new design,[[0.0852948426041]]
2,14,6139,Surgical Endoscopy,895000,Reply to: doi:10.1007/s00464-009-0765-z: Laparoscopic correction of perforated peptic ulcer: first choice? A review of literature,[[0.090640263634]]
3,1,5066,Machine Learning,917400,A general framework for induction and a study of selective induction,[[0.297912819057]]
3,14,5066,Machine Learning,917500,When will machines learn?,[[0.221457071701]]
3,1,5066,Machine Learning,917600,The Induction of Dynamical Recognizers,[[0.327353318091]]
3,1,5066,Machine Learning,917700,Inferential theory of learning as a conceptual basis for multistrategy learning,[[0.349543319979]]
3,1,5066,Machine Learning,917800,"<em class=""a-plus-plus"">Introduction</em>: <strong class=""a-plus-plus"">Structured Connectionist Systems</strong>",[[0.312791681541]]
3,8,5066,Machine Learning,917900,On Polynomial-Time Learnability in the Limit of Strictly Deterministic Automata,[[0.236589666019]]
3,1,5066,Machine Learning,918100,Training a Vision Guided Mobile Robot,[[0.22490158371]]
3,8,5066,Machine Learning,918300,On the Existence of Linear Weak Learners and Applications to Boosting,[[0.216592589019]]
3,9,5066,Machine Learning,918400,Subquadratic Approximation Algorithms for Clustering Problems in High Dimensional Spaces,[[0.333139739246]]
3,14,5066,Machine Learning,918500,Cost curves: An improved method for visualizing classifier performance,[[0.337379030734]]
3,9,5066,Machine Learning,918600,A collaborative filtering framework based on both local user similarity and global user similarity,[[0.262042169686]]
3,14,5066,Machine Learning,918700,Learning to detect incidents from noisily labeled data,[[0.273868050244]]
3,14,5066,Machine Learning,918800,Learning by extrapolation from marginal to full-multivariate probability distributions: decreasingly naive Bayesian classification,[[0.264004970302]]
3,26,5189,Journal of High Energy Physics,1023600,Geometric flows in Hořava-Lifshitz gravity,[[0.15424949585]]
3,26,5189,Journal of High Energy Physics,1023800,DWSB in heterotic flux compactifications,[[0.146225440421]]
3,26,5189,Journal of High Energy Physics,1026900,Rigid supersymmetric theories in 4d Riemannian space,[[0.193242555759]]
3,26,5189,Journal of High Energy Physics,1028000,"Kerr/CFT, dipole theories and nonrelativistic CFTs",[[0.186311511314]]
